,date,customer_id,item_id,quantity,price_per_unit,amount,Vrh_No
55,03-04-2019,customer2,Item_6,40.0,16.5,660.0,18
56,03-04-2019,customer2,Item_3,15.0,24.0,360.0,18
57,03-04-2019,customer14,Item_6,200.0,16.5,3300.0,19
58,03-04-2019,customer2,Item_3,150.0,21.0,3150.0,20
59,03-04-2019,customer15,Item_6,1164.0,17.0,19788.0,21
60,03-04-2019,customer15,Item_3,1.0,9.5,9.5,21
61,03-04-2019,customer16,Item_1,200.0,19.5,3900.0,22
62,03-04-2019,customer16,Item_21,60.0,30.0,1800.0,22
63,03-04-2019,customer16,Item_22,60.0,24.5,1470.0,22
64,03-04-2019,customer16,Item_6,120.0,17.0,2040.0,22
65,03-04-2019,customer16,Item_23,20.0,48.0,960.0,22
66,03-04-2019,customer17,Item_1,300.0,19.5,5850.0,23
67,03-04-2019,customer17,Item_24,80.1,32.0,2563.2,23
68,03-04-2019,customer17,Item_7,1093.75,22.0,24062.5,23
69,04-04-2019,customer18,Item_7,143.0,22.0,3146.0,24
70,04-04-2019,customer18,Item_25,16.0,38.0,608.0,24
71,04-04-2019,customer5,Item_1,2400.0,19.5,46800.0,25
72,04-04-2019,customer19,Item_6,2000.0,17.0,34000.0,26
73,04-04-2019,customer19,Item_24,83.9,35.0,2936.5,26
74,04-04-2019,customer19,Item_26,12.0,40.0,480.0,26
75,04-04-2019,customer19,Item_3,36.0,58.0,2088.0,26
76,04-04-2019,customer19,Item_7,240.0,22.0,5280.0,26
77,04-04-2019,customer19,Item_27,82.0,50.0,4100.0,26
78,04-04-2019,customer19,Item_8,100.0,40.0,4000.0,26
79,04-04-2019,customer20,Item_27,40.0,50.0,2000.0,27
80,04-04-2019,customer20,Item_7,40.0,22.0,880.0,27
81,05-04-2019,customer21,Item_1,1640.0,20.0,32800.0,28
82,05-04-2019,customer21,Item_3,1.0,27.0,27.0,28
83,06-04-2019,customer22,Item_2,80.0,24.0,1920.0,29
84,06-04-2019,customer23,Item_6,290.0,17.0,4930.0,30
85,07-04-2019,customer2,Item_28,72.0,80.0,5760.0,31
86,07-04-2019,customer2,Item_5,6.0,42.0,252.0,31
87,07-04-2019,customer24,Item_7,40.0,22.0,880.0,32
88,07-04-2019,customer24,Item_1,250.0,20.0,5000.0,32
89,07-04-2019,customer24,Item_6,150.0,17.0,2550.0,32
90,08-04-2019,customer14,Item_6,130.0,16.5,2145.0,33
91,08-04-2019,customer25,Item_1,542.0,20.0,10840.0,34
92,09-04-2019,customer26,Item_27,114.0,50.0,5700.0,35
93,09-04-2019,customer26,Item_29,12.0,48.0,576.0,35
94,09-04-2019,customer26,Item_7,20.0,22.0,440.0,35
95,09-04-2019,customer26,Item_2,120.0,22.0,2640.0,35
96,09-04-2019,customer26,Item_1,70.0,20.0,1400.0,35
97,09-04-2019,customer26,Item_6,20.0,17.0,340.0,35
98,09-04-2019,customer27,Item_6,2992.0,17.0,50864.0,36
99,09-04-2019,customer27,Item_3,1.0,7.0,7.0,36
100,09-04-2019,customer28,Item_3,24.0,55.0,1320.0,37
101,09-04-2019,customer28,Item_23,25.0,48.0,1200.0,37
102,09-04-2019,customer28,Item_10,500.0,13.5,6750.0,37
103,10-04-2019,customer29,Item_21,80.0,30.0,2400.0,38
104,10-04-2019,customer29,Item_6,140.0,17.0,2380.0,38
105,10-04-2019,customer29,Item_3,40.0,30.0,1200.0,38
106,10-04-2019,customer29,Item_3,15.0,50.0,750.0,38
107,10-04-2019,customer29,Item_3,12.0,60.0,720.0,38
108,10-04-2019,customer29,Item_30,13.0,28.0,364.0,38
109,10-04-2019,customer29,Item_10,100.0,14.0,1400.0,38
110,10-04-2019,customer30,Item_2,100.0,24.0,2400.0,39
111,10-04-2019,customer30,Item_1,70.0,20.0,1400.0,39
112,10-04-2019,customer2,Item_6,104.0,17.0,1768.0,40
113,10-04-2019,customer2,Item_3,1.0,22.0,22.0,40
114,10-04-2019,customer2,Item_2,50.0,22.0,1100.0,41
115,10-04-2019,customer2,Item_6,340.0,17.0,5780.0,41
116,10-04-2019,customer2,Item_7,65.0,22.0,1430.0,42
117,10-04-2019,customer31,Item_1,310.0,20.0,6200.0,43
118,10-04-2019,customer31,Item_6,250.0,17.0,4250.0,43
119,10-04-2019,customer31,Item_2,90.0,22.0,1980.0,43
120,10-04-2019,customer13,Item_6,1200.0,17.0,20400.0,44
121,10-04-2019,customer32,Item_29,216.0,45.0,9720.0,45
122,10-04-2019,customer33,Item_7,263.0,23.0,6049.0,46
123,10-04-2019,customer33,Item_29,24.0,48.0,1152.0,46
124,10-04-2019,customer33,Item_29,312.0,48.0,14976.0,46
125,10-04-2019,customer33,Item_27,102.0,52.0,5304.0,46
126,10-04-2019,customer33,Item_8,50.0,42.0,2100.0,46
127,10-04-2019,customer33,Item_7,1358.5,23.0,31245.5,46
128,10-04-2019,customer33,Item_6,405.0,17.0,6885.0,46
129,11-04-2019,customer34,Item_27,40.0,52.0,2080.0,47
130,11-04-2019,customer34,Item_7,188.5,22.0,4147.0,47
131,11-04-2019,customer34,Item_1,140.0,20.0,2800.0,47
132,11-04-2019,customer34,Item_2,100.0,24.0,2400.0,47
133,11-04-2019,customer34,Item_6,440.0,17.0,7480.0,47
134,11-04-2019,customer34,Item_28,36.0,85.0,3060.0,47
135,11-04-2019,customer26,Item_27,104.0,51.0,5304.0,48
136,11-04-2019,customer26,Item_31,120.0,26.0,3120.0,48
137,11-04-2019,customer26,Item_1,120.0,20.0,2400.0,48
138,12-04-2019,customer8,Item_32,22.75,95.0,2161.25,49
139,12-04-2019,customer8,Item_3,24.0,52.0,1248.0,49
140,12-04-2019,customer8,Item_27,406.0,48.0,19488.0,49
141,12-04-2019,customer8,Item_29,648.0,36.0,23328.0,49
142,12-04-2019,customer8,Item_8,40.0,38.0,1520.0,49
143,12-04-2019,customer16,Item_6,50.0,17.0,850.0,50
144,12-04-2019,customer16,Item_1,200.0,19.25,3850.0,50
145,12-04-2019,customer16,Item_1,1200.0,19.25,23100.0,50
146,12-04-2019,customer35,Item_27,100.0,52.0,5200.0,51
147,14-04-2019,customer35,Item_2,40.0,24.0,960.0,52
148,14-04-2019,customer35,Item_27,20.0,52.0,1040.0,52
149,14-04-2019,customer36,Item_8,130.0,38.0,4940.0,53
150,14-04-2019,customer36,Item_7,107.0,21.5,2300.5,53
151,14-04-2019,customer36,Item_1,450.0,19.5,8775.0,53
152,14-04-2019,customer36,Item_2,60.0,23.5,1410.0,53
153,14-04-2019,customer36,Item_2,400.0,21.0,8400.0,53
154,14-04-2019,customer36,Item_2,70.0,28.0,1960.0,53
155,14-04-2019,customer36,Item_1,50.0,19.5,975.0,53
156,14-04-2019,customer36,Item_2,40.0,23.5,940.0,53
157,14-04-2019,customer5,Item_9,4800.0,11.5,55200.0,54
158,14-04-2019,customer37,Item_19,500.0,7.5,3750.0,55
159,14-04-2019,customer37,Item_6,240.0,17.0,4080.0,55
160,14-04-2019,customer37,Item_2,120.0,22.0,2640.0,55
161,14-04-2019,customer38,Item_6,120.0,15.75,1890.0,56
162,14-04-2019,customer38,Item_7,220.0,20.5,4510.0,56
163,14-04-2019,customer38,Item_29,24.0,36.0,864.0,56
164,14-04-2019,customer38,Item_32,10.5,25.0,262.5,56
165,14-04-2019,customer38,Item_3,15.0,40.0,600.0,56
166,15-04-2019,customer18,Item_2,300.0,24.0,7200.0,57
167,15-04-2019,customer18,Item_10,200.0,14.0,2800.0,57
168,15-04-2019,customer18,Item_3,60.0,48.0,2880.0,57
169,15-04-2019,customer23,Item_6,180.0,17.0,3060.0,58
170,15-04-2019,customer39,Item_7,437.5,22.0,9625.0,59
171,15-04-2019,customer6,Item_1,140.0,19.5,2730.0,60
172,15-04-2019,customer6,Item_2,120.0,24.0,2880.0,60
173,15-04-2019,customer2,Item_6,10.0,17.0,170.0,61
174,15-04-2019,customer40,Item_27,100.0,48.0,4800.0,62
175,15-04-2019,customer41,Item_6,359.0,17.0,6103.0,63
176,15-04-2019,customer41,Item_3,1.0,14.0,14.0,63
177,15-04-2019,customer42,Item_7,267.0,22.0,5874.0,64
178,15-04-2019,customer42,Item_29,24.0,36.0,864.0,64
179,15-04-2019,customer42,Item_27,232.0,48.0,11136.0,64
180,15-04-2019,customer43,Item_9,1200.0,11.5,13800.0,65
181,16-04-2019,customer5,Item_7,1200.0,22.0,26400.0,66
182,16-04-2019,customer5,Item_27,800.0,48.0,38400.0,66
183,16-04-2019,customer8,Item_27,38.0,48.0,1824.0,67
184,16-04-2019,customer44,Item_8,170.0,38.5,6545.0,68
185,16-04-2019,customer44,Item_6,340.0,16.5,5610.0,68
186,16-04-2019,customer44,Item_1,20.0,19.5,390.0,68
187,16-04-2019,customer44,Item_26,36.0,40.0,1440.0,68
188,16-04-2019,customer44,Item_3,12.0,55.0,660.0,68
189,19-04-2019,customer45,Item_1,90.0,20.0,1800.0,69
190,19-04-2019,customer45,Item_6,60.0,17.0,1020.0,69
191,19-04-2019,customer45,Item_20,50.0,8.5,425.0,69
192,19-04-2019,customer45,Item_19,50.0,7.5,375.0,69
193,19-04-2019,customer45,Item_10,25.0,14.0,350.0,69
194,19-04-2019,customer33,Item_7,803.0,23.0,18469.0,70
195,19-04-2019,customer33,Item_2,60.0,22.0,1320.0,70
196,19-04-2019,customer33,Item_2,91.0,29.0,2639.0,70
197,19-04-2019,customer33,Item_18,30.0,68.0,2040.0,70
198,19-04-2019,customer33,Item_18,15.0,30.4,456.0,70
199,19-04-2019,customer46,Item_6,570.0,17.0,9690.0,71
200,19-04-2019,customer46,Item_2,60.0,21.0,1260.0,71
201,19-04-2019,customer46,Item_2,140.0,22.0,3080.0,71
202,19-04-2019,customer46,Item_3,24.0,60.0,1440.0,71
203,19-04-2019,customer46,Item_3,15.0,30.0,450.0,71
204,19-04-2019,customer46,Item_27,100.0,50.0,5000.0,71
205,19-04-2019,customer46,Item_7,313.0,21.5,6729.5,71
206,19-04-2019,customer5,Item_33,240.0,30.0,7200.0,72
207,19-04-2019,customer47,Item_27,418.0,48.0,20064.0,73
208,19-04-2019,customer47,Item_8,280.0,40.0,11200.0,73
209,19-04-2019,customer47,Item_18,240.0,58.0,13920.0,73
210,19-04-2019,customer47,Item_7,480.0,22.0,10560.0,73
211,19-04-2019,customer47,Item_29,240.0,38.0,9120.0,73
212,19-04-2019,customer48,Item_34,592.0,65.0,38480.0,74
213,20-04-2019,customer8,Item_6,300.0,16.5,4950.0,75
214,20-04-2019,customer49,Item_2,140.0,24.0,3360.0,76
215,20-04-2019,customer49,Item_1,130.0,20.0,2600.0,76
216,20-04-2019,customer49,Item_7,198.0,22.0,4356.0,76
217,20-04-2019,customer49,Item_27,126.0,52.0,6552.0,76
218,20-04-2019,customer49,Item_9,150.0,13.0,1950.0,76
219,20-04-2019,customer43,Item_33,121.8,30.0,3654.0,77
220,21-04-2019,customer50,Item_6,555.0,17.0,9435.0,78
221,21-04-2019,customer50,Item_3,22.0,60.0,1320.0,78
222,21-04-2019,customer50,Item_3,20.0,48.0,960.0,78
223,21-04-2019,customer50,Item_7,256.0,22.0,5632.0,78
224,21-04-2019,customer51,Item_10,1200.0,13.5,16200.0,79
225,21-04-2019,customer51,Item_1,540.0,19.5,10530.0,79
226,21-04-2019,customer51,Item_33,134.4,29.0,3897.6,79
227,21-04-2019,customer51,Item_7,100.0,22.0,2200.0,79
228,21-04-2019,customer20,Item_6,830.0,17.0,14110.0,80
229,21-04-2019,customer20,Item_2,80.0,24.0,1920.0,80
230,21-04-2019,customer20,Item_29,48.0,45.0,2160.0,80
231,21-04-2019,customer20,Item_27,50.0,51.0,2550.0,80
232,21-04-2019,customer20,Item_7,593.0,22.0,13046.0,80
233,21-04-2019,customer20,Item_1,300.0,20.0,6000.0,80
234,22-04-2019,customer52,Item_2,30.0,22.0,660.0,81
235,22-04-2019,customer52,Item_1,10.0,20.0,200.0,81
236,22-04-2019,customer52,Item_1,10.0,25.0,250.0,81
237,22-04-2019,customer52,Item_2,10.0,30.0,300.0,81
238,22-04-2019,customer52,Item_2,10.0,29.0,290.0,81
239,22-04-2019,customer53,Item_10,250.0,14.0,3500.0,82
240,22-04-2019,customer53,Item_19,250.0,7.5,1875.0,82
241,22-04-2019,customer53,Item_6,480.0,17.0,8160.0,82
242,22-04-2019,customer53,Item_2,240.0,24.0,5760.0,82
243,22-04-2019,customer53,Item_4,130.0,30.0,3900.0,82
244,22-04-2019,customer53,Item_7,40.0,22.0,880.0,82
245,22-04-2019,customer54,Item_2,310.0,24.0,7440.0,83
246,22-04-2019,customer54,Item_27,112.0,50.0,5600.0,83
247,22-04-2019,customer54,Item_29,24.0,40.0,960.0,83
248,22-04-2019,customer54,Item_18,30.0,64.0,1920.0,83
249,22-04-2019,customer54,Item_7,40.0,22.0,880.0,83
250,23-04-2019,customer17,Item_34,369.0,64.0,23616.0,84
251,23-04-2019,customer55,Item_5,35.0,40.0,1400.0,85
252,23-04-2019,customer27,Item_6,1480.0,17.0,25160.0,86
253,23-04-2019,customer27,Item_3,1.0,19.0,19.0,86
254,24-04-2019,customer56,Item_33,26.6,30.0,798.0,87
255,24-04-2019,customer56,Item_7,1555.0,22.0,34210.0,87
256,24-04-2019,customer56,Item_3,1.0,17.0,17.0,87
257,24-04-2019,customer46,Item_2,120.0,22.0,2640.0,88
258,24-04-2019,customer57,Item_9,300.0,12.0,3600.0,89
259,25-04-2019,customer40,Item_29,120.0,42.0,5040.0,90
260,25-04-2019,customer40,Item_4,52.0,32.0,1664.0,90
261,25-04-2019,customer58,Item_29,360.0,42.0,15120.0,91
262,25-04-2019,customer58,Item_27,90.0,48.0,4320.0,91
263,25-04-2019,customer58,Item_15,168.0,85.0,14280.0,91
264,25-04-2019,customer58,Item_18,64.6,32.0,2067.2,91
265,25-04-2019,customer58,Item_15,125.0,85.0,10625.0,91
266,25-04-2019,customer58,Item_17,12.0,90.0,1080.0,91
267,25-04-2019,customer8,Item_2,300.0,23.25,6975.0,92
268,25-04-2019,customer36,Item_10,300.0,13.5,4050.0,93
269,25-04-2019,customer36,Item_9,300.0,11.5,3450.0,93
270,25-04-2019,customer59,Item_27,100.0,52.0,5200.0,94
271,25-04-2019,customer59,Item_7,292.5,22.0,6435.0,94
272,25-04-2019,customer59,Item_35,28.0,65.0,1820.0,94
273,25-04-2019,customer59,Item_5,25.0,42.0,1050.0,94
274,25-04-2019,customer59,Item_15,48.0,90.0,4320.0,94
275,25-04-2019,customer59,Item_33,26.2,30.0,786.0,94
276,25-04-2019,customer59,Item_4,30.0,30.0,900.0,94
277,25-04-2019,customer59,Item_4,12.0,35.0,420.0,94
278,25-04-2019,customer59,Item_2,80.0,22.0,1760.0,94
279,25-04-2019,customer60,Item_36,84.0,85.0,7140.0,95
280,25-04-2019,customer60,Item_1,120.0,20.0,2400.0,95
281,25-04-2019,customer61,Item_7,1020.0,22.0,22440.0,96
282,25-04-2019,customer61,Item_3,22.0,55.0,1210.0,96
283,25-04-2019,customer61,Item_3,12.0,45.0,540.0,96
284,25-04-2019,customer2,Item_6,70.0,17.0,1190.0,97
285,25-04-2019,customer2,Item_3,1.0,10.0,10.0,97
286,25-04-2019,customer38,Item_37,345.0,29.6,10212.0,98
287,25-04-2019,customer38,Item_3,50.0,24.0,1200.0,98
288,25-04-2019,customer38,Item_3,15.0,40.0,600.0,98
289,25-04-2019,customer38,Item_23,43.0,42.0,1806.0,98
290,25-04-2019,customer38,Item_3,20.0,30.0,600.0,98
291,25-04-2019,customer38,Item_3,10.0,60.0,600.0,98
292,25-04-2019,customer38,Item_38,25.0,38.0,950.0,98
293,26-04-2019,customer2,Item_6,410.0,17.0,6970.0,99
294,26-04-2019,customer2,Item_6,620.0,15.0,9300.0,100
295,26-04-2019,customer2,Item_3,1.0,13.0,13.0,100
296,26-04-2019,customer35,Item_33,24.0,30.0,720.0,101
297,26-04-2019,customer35,Item_6,280.0,17.0,4760.0,101
298,26-04-2019,customer62,Item_6,70.0,16.0,1120.0,102
299,26-04-2019,customer62,Item_7,218.5,20.5,4479.25,102
300,26-04-2019,customer62,Item_3,27.0,42.0,1134.0,102
301,26-04-2019,customer4,Item_6,700.0,17.0,11900.0,103
302,26-04-2019,customer4,Item_7,688.0,21.75,14964.0,103
303,26-04-2019,customer4,Item_10,25.0,14.0,350.0,103
304,27-04-2019,customer53,Item_1,300.0,20.0,6000.0,104
305,27-04-2019,customer63,Item_19,300.0,7.25,2175.0,105
306,27-04-2019,customer64,Item_1,110.0,20.0,2200.0,106
307,27-04-2019,customer65,Item_1,220.0,20.0,4400.0,107
308,27-04-2019,customer65,Item_27,20.0,50.0,1000.0,107
309,27-04-2019,customer65,Item_21,20.0,30.0,600.0,107
310,27-04-2019,customer44,Item_15,48.0,85.0,4080.0,108
311,28-04-2019,customer66,Item_7,874.0,22.0,19228.0,109
312,28-04-2019,customer66,Item_3,1.0,31.0,31.0,109
313,28-04-2019,customer67,Item_6,310.0,17.0,5270.0,110
314,30-04-2019,customer68,Item_2,500.0,24.0,12000.0,111
315,30-04-2019,customer68,Item_29,72.0,48.0,3456.0,111
316,30-04-2019,customer68,Item_27,38.0,52.0,1976.0,111
317,30-04-2019,customer68,Item_15,72.0,90.0,6480.0,111
318,30-04-2019,customer68,Item_39,12.0,125.0,1500.0,111
319,30-04-2019,customer68,Item_40,12.0,65.0,780.0,111
320,30-04-2019,customer68,Item_41,23.25,140.0,3255.0,111
321,30-04-2019,customer68,Item_39,23.25,110.0,2557.5,111
322,30-04-2019,customer68,Item_7,480.0,22.0,10560.0,111
323,30-04-2019,customer69,Item_1,240.0,18.5,4440.0,112
324,30-04-2019,customer69,Item_10,100.0,13.0,1300.0,112
325,30-04-2019,customer69,Item_15,96.0,75.0,7200.0,112
326,30-04-2019,customer69,Item_33,26.5,30.0,795.0,112
327,30-04-2019,customer69,Item_7,629.0,21.5,13523.5,112
328,30-04-2019,customer69,Item_32,12.0,120.0,1440.0,112
329,30-04-2019,customer69,Item_32,12.0,99.0,1188.0,112
330,30-04-2019,customer69,Item_32,24.0,90.0,2160.0,112
331,30-04-2019,customer70,Item_2,180.0,24.0,4320.0,113
332,30-04-2019,customer70,Item_6,60.0,17.0,1020.0,113
333,30-04-2019,customer70,Item_19,200.0,7.5,1500.0,113
334,30-04-2019,customer70,Item_9,200.0,12.5,2500.0,113
335,30-04-2019,customer70,Item_10,75.0,14.0,1050.0,113
336,30-04-2019,customer70,Item_4,12.0,35.0,420.0,113
337,30-04-2019,customer71,Item_24,33.5,35.0,1172.5,114
338,30-04-2019,customer71,Item_42,12.0,55.0,660.0,114
339,30-04-2019,customer71,Item_43,14.0,55.0,770.0,114
340,30-04-2019,customer71,Item_43,14.6,60.0,876.0,114
341,30-04-2019,customer71,Item_18,50.0,55.0,2750.0,114
342,30-04-2019,customer71,Item_16,25.75,125.0,3218.75,114
343,30-04-2019,customer71,Item_7,100.0,21.0,2100.0,114
344,30-04-2019,customer58,Item_27,500.0,48.0,24000.0,115
345,30-04-2019,customer58,Item_27,500.0,48.0,24000.0,116
346,01-05-2019,customer72,Item_4,10.0,20.0,200.0,117
347,01-05-2019,customer72,Item_4,12.0,50.0,600.0,117
348,01-05-2019,customer72,Item_4,12.0,35.0,420.0,117
349,01-05-2019,customer72,Item_15,27.2,38.0,1033.6,117
350,01-05-2019,customer72,Item_15,60.0,90.0,5400.0,117
351,01-05-2019,customer72,Item_18,12.0,125.0,1500.0,117
352,01-05-2019,customer72,Item_7,20.0,22.0,440.0,117
353,01-05-2019,customer73,Item_44,100.0,23.0,2300.0,118
354,01-05-2019,customer73,Item_10,125.0,13.0,1625.0,118
355,01-05-2019,customer73,Item_4,120.0,25.0,3000.0,118
356,01-05-2019,customer73,Item_2,60.0,30.0,1800.0,118
357,01-05-2019,customer73,Item_4,25.0,25.0,625.0,118
358,01-05-2019,customer73,Item_4,12.0,55.0,660.0,118
359,01-05-2019,customer1,Item_7,140.0,21.75,3045.0,119
360,01-05-2019,customer1,Item_1,50.0,20.0,1000.0,119
361,02-05-2019,customer5,Item_9,4800.0,11.5,55200.0,120
362,02-05-2019,customer15,Item_2,2484.0,20.0,49680.0,121
363,02-05-2019,customer15,Item_4,1.0,9.5,9.5,121
364,02-05-2019,customer42,Item_7,1000.0,22.0,22000.0,122
365,02-05-2019,customer42,Item_27,500.0,48.0,24000.0,122
366,02-05-2019,customer19,Item_2,1181.0,20.0,23620.0,123
367,02-05-2019,customer19,Item_4,1.0,10.0,10.0,123
368,02-05-2019,customer2,Item_6,150.0,17.0,2550.0,124
369,03-05-2019,customer27,Item_4,82.0,35.0,2870.0,125
370,03-05-2019,customer27,Item_9,200.0,12.0,2400.0,125
371,03-05-2019,customer27,Item_4,1.0,20.0,20.0,125
372,04-05-2019,customer74,Item_2,317.0,20.0,6340.0,126
373,04-05-2019,customer74,Item_45,0.5,30.0,15.0,126
374,04-05-2019,customer18,Item_1,300.0,20.0,6000.0,127
375,04-05-2019,customer75,Item_2,140.0,24.0,3360.0,128
376,04-05-2019,customer75,Item_9,100.0,12.0,1200.0,128
377,04-05-2019,customer75,Item_19,50.0,7.5,375.0,128
378,04-05-2019,customer75,Item_4,25.0,40.0,1000.0,128
379,04-05-2019,customer76,Item_10,100.0,14.0,1400.0,129
380,04-05-2019,customer76,Item_9,100.0,12.5,1250.0,129
381,05-05-2019,customer8,Item_2,360.0,23.25,8370.0,130
382,05-05-2019,customer8,Item_6,160.0,16.5,2640.0,130
383,05-05-2019,customer8,Item_15,12.0,75.0,900.0,130
384,05-05-2019,customer8,Item_7,267.0,21.0,5607.0,130
385,05-05-2019,customer8,Item_29,36.0,36.0,1296.0,130
386,05-05-2019,customer8,Item_27,30.0,48.0,1440.0,130
387,05-05-2019,customer17,Item_7,1000.0,22.0,22000.0,131
388,05-05-2019,customer17,Item_33,24.0,30.0,720.0,131
389,05-05-2019,customer18,Item_7,500.0,22.0,11000.0,132
390,05-05-2019,customer18,Item_2,672.0,24.0,16128.0,132
391,05-05-2019,customer18,Item_4,50.0,36.0,1800.0,132
392,05-05-2019,customer55,Item_6,760.0,17.0,12920.0,133
393,06-05-2019,customer36,Item_8,150.0,38.0,5700.0,134
394,06-05-2019,customer36,Item_27,384.0,63.0,24192.0,134
395,06-05-2019,customer36,Item_2,320.0,23.5,7520.0,134
396,06-05-2019,customer36,Item_1,400.0,19.5,7800.0,134
397,06-05-2019,customer36,Item_2,200.0,28.0,5600.0,134
398,06-05-2019,customer36,Item_33,51.2,30.0,1536.0,134
399,06-05-2019,customer36,Item_2,100.0,22.0,2200.0,134
400,06-05-2019,customer36,Item_15,24.0,80.0,1920.0,134
401,06-05-2019,customer36,Item_18,40.0,32.0,1280.0,134
402,06-05-2019,customer36,Item_32,12.0,100.0,1200.0,134
403,06-05-2019,customer77,Item_6,450.0,17.0,7650.0,135
404,06-05-2019,customer77,Item_10,50.0,14.0,700.0,135
405,06-05-2019,customer77,Item_5,30.0,52.0,1560.0,135
406,06-05-2019,customer77,Item_10,50.0,14.0,700.0,135
407,06-05-2019,customer77,Item_4,115.0,38.0,4370.0,135
408,06-05-2019,customer77,Item_4,25.0,28.0,700.0,135
409,06-05-2019,customer78,Item_1,50.0,20.0,1000.0,136
410,06-05-2019,customer78,Item_2,220.0,22.0,4840.0,136
411,06-05-2019,customer78,Item_4,30.0,45.0,1350.0,136
412,06-05-2019,customer78,Item_4,12.0,60.0,720.0,136
413,06-05-2019,customer78,Item_4,15.0,30.0,450.0,136
414,06-05-2019,customer78,Item_4,10.0,22.0,220.0,136
415,06-05-2019,customer78,Item_4,10.0,25.0,250.0,136
416,06-05-2019,customer78,Item_4,20.0,24.0,480.0,136
417,06-05-2019,customer78,Item_10,75.0,14.0,1050.0,136
418,06-05-2019,customer78,Item_15,48.0,90.0,4320.0,136
419,06-05-2019,customer78,Item_4,10.0,75.0,750.0,136
420,06-05-2019,customer78,Item_4,12.0,35.0,420.0,136
421,06-05-2019,customer16,Item_4,10.0,30.0,300.0,137
422,06-05-2019,customer16,Item_2,10.0,24.0,240.0,137
423,06-05-2019,customer16,Item_6,120.0,17.0,2040.0,137
